prot_id,trial_id,noise,no_targets,trajectory_id,cage_indicated
27,1,noise,1,99,2
27,2,no_noise,2,12,3
27,3,noise,4,129,1
27,4,no_noise,1,51,1
27,5,noise,1,90,2
27,6,noise,4,45,1
27,7,noise,4,100,4
27,8,no_noise,1,131,1
27,9,no_noise,2,26,4
27,10,no_noise,1,27,1
27,11,no_noise,1,85,3
27,12,noise,2,39,4
27,13,no_noise,4,59,2
27,14,no_noise,2,79,2
27,15,no_noise,1,9,1
27,16,noise,1,63,1
27,17,noise,4,112,2
27,18,no_noise,1,86,1
27,19,noise,1,148,2
27,20,no_noise,4,37,1
27,21,no_noise,4,156,1
27,22,noise,1,163,1
27,23,noise,1,24,3
27,24,no_noise,4,105,4
27,25,no_noise,2,149,4
27,26,noise,4,124,2
27,27,noise,2,46,3
27,28,no_noise,1,170,4
27,29,noise,4,135,2
27,30,noise,2,177,2
27,31,no_noise,4,70,3
27,32,noise,1,123,4
27,33,noise,2,113,4
27,34,no_noise,1,102,1
27,35,no_noise,1,118,3
27,36,no_noise,4,119,2
27,37,no_noise,4,179,2
27,38,noise,1,96,3
27,39,no_noise,4,2,3
27,40,no_noise,4,28,3
27,41,noise,4,97,4
27,42,noise,4,104,3
27,43,no_noise,4,25,3
27,44,no_noise,4,30,4
27,45,no_noise,4,57,1
27,46,noise,4,106,4
27,47,no_noise,1,64,1
27,48,noise,4,143,2
27,49,no_noise,2,151,2
27,50,no_noise,2,139,2
27,51,noise,1,168,4
27,52,noise,4,54,2
27,53,noise,2,164,4
27,54,noise,2,33,3
27,55,noise,2,67,3
27,56,no_noise,1,158,4
27,57,no_noise,1,103,2
27,58,noise,4,62,2
27,59,noise,1,115,2
27,60,no_noise,2,153,1
27,61,no_noise,2,116,2
27,62,no_noise,4,152,3
27,63,noise,1,42,2
27,64,no_noise,2,93,4
27,65,noise,4,4,3
27,66,no_noise,1,35,2
27,67,noise,1,43,4
27,68,noise,2,22,1
27,69,noise,2,44,3
27,70,no_noise,2,66,2
27,71,no_noise,2,48,2
27,72,no_noise,1,36,4
27,73,noise,2,49,4
27,74,noise,4,61,3
27,75,no_noise,4,34,2
27,76,no_noise,2,75,3
27,77,no_noise,1,127,4
27,78,no_noise,4,32,3
27,79,no_noise,4,17,3
27,80,noise,4,144,4
27,81,noise,1,7,2
27,82,noise,2,52,4
27,83,noise,2,155,2
27,84,no_noise,2,1,1
27,85,noise,1,101,1
27,86,no_noise,1,107,1
27,87,noise,2,69,1
27,88,noise,4,73,1
27,89,no_noise,4,159,1
27,90,no_noise,1,14,4
27,91,noise,2,128,4
27,92,no_noise,2,23,2
27,93,noise,1,180,2
27,94,noise,4,117,1
27,95,noise,1,83,3
27,96,no_noise,1,132,4
27,97,no_noise,2,72,1
27,98,noise,1,150,1
27,99,noise,2,76,2
27,100,noise,4,82,2
27,101,noise,2,125,1
27,102,noise,1,89,4
27,103,noise,2,21,1
27,104,no_noise,2,78,2
27,105,noise,1,10,1
27,106,noise,1,74,3
27,107,no_noise,2,136,3
27,108,noise,2,157,4
27,109,noise,1,5,4
27,110,noise,2,172,3
27,111,no_noise,4,50,4
27,112,no_noise,4,20,3
27,113,noise,1,58,3
27,114,noise,4,175,3
27,115,no_noise,1,53,1
27,116,no_noise,4,111,1
27,117,no_noise,1,147,4
27,118,no_noise,2,38,2
27,119,no_noise,1,6,4
27,120,no_noise,2,3,1
27,121,no_noise,4,166,4
27,122,noise,4,68,2
27,123,no_noise,1,146,3
27,124,no_noise,2,18,1
27,125,no_noise,1,81,2
27,126,noise,2,137,4
27,127,no_noise,1,84,2
27,128,noise,1,140,3
27,129,no_noise,2,65,1
27,130,no_noise,4,130,2
27,131,noise,4,178,3
27,132,noise,4,41,3
27,133,noise,4,120,3
27,134,no_noise,4,142,2
27,135,no_noise,2,171,3
27,136,noise,4,15,4
27,137,no_noise,1,55,1
27,138,no_noise,1,138,3
27,139,noise,4,109,4
27,140,no_noise,1,145,3
27,141,noise,4,29,3
27,142,noise,2,11,1
27,143,no_noise,4,98,4
27,144,noise,1,169,1
27,145,noise,2,92,1
27,146,noise,2,134,2
27,147,noise,1,176,1
27,148,noise,2,8,3
27,149,noise,1,40,2
27,150,no_noise,4,133,3
27,151,noise,2,110,2
27,152,noise,1,165,2
27,153,noise,4,91,3
27,154,noise,2,114,1
27,155,noise,2,80,2
27,156,no_noise,2,31,3
27,157,noise,4,108,4
27,158,no_noise,1,174,3
27,159,no_noise,2,77,4
27,160,no_noise,2,95,1
27,161,no_noise,4,167,3
27,162,no_noise,2,87,2
27,163,no_noise,4,173,1
27,164,noise,4,126,3
27,165,no_noise,2,88,1
27,166,no_noise,2,141,2
27,167,no_noise,2,160,1
27,168,no_noise,1,162,4
27,169,no_noise,4,122,4
27,170,no_noise,4,94,3
27,171,noise,2,13,4
27,172,noise,1,71,2
27,173,no_noise,4,19,4
27,174,noise,2,16,4
27,175,noise,4,161,3
27,176,noise,1,60,4
27,177,no_noise,2,56,4
27,178,noise,1,121,4
27,179,noise,2,154,1
27,180,no_noise,1,47,1
