prot_id,trial_id,noise,no_targets,trajectory_id,cage_indicated
22,1,noise,2,174,1
22,2,noise,1,106,4
22,3,no_noise,1,7,1
22,4,noise,2,117,2
22,5,no_noise,4,76,4
22,6,noise,2,29,1
22,7,noise,4,83,1
22,8,no_noise,4,179,4
22,9,noise,4,113,1
22,10,no_noise,2,23,2
22,11,no_noise,4,147,2
22,12,no_noise,4,110,4
22,13,no_noise,4,166,1
22,14,no_noise,2,72,4
22,15,no_noise,4,118,1
22,16,noise,4,141,2
22,17,noise,4,57,1
22,18,no_noise,2,2,3
22,19,no_noise,1,134,2
22,20,noise,1,111,2
22,21,noise,4,22,1
22,22,noise,4,143,1
22,23,no_noise,1,115,2
22,24,noise,2,20,1
22,25,noise,4,32,4
22,26,no_noise,2,33,1
22,27,no_noise,2,56,2
22,28,no_noise,4,123,4
22,29,no_noise,1,11,2
22,30,noise,1,10,2
22,31,noise,1,75,3
22,32,no_noise,1,138,3
22,33,no_noise,1,131,2
22,34,no_noise,1,66,4
22,35,no_noise,4,53,1
22,36,noise,4,35,4
22,37,no_noise,2,152,4
22,38,noise,2,18,4
22,39,no_noise,1,100,4
22,40,no_noise,2,104,2
22,41,no_noise,4,127,1
22,42,no_noise,1,88,2
22,43,noise,4,140,3
22,44,no_noise,4,38,1
22,45,no_noise,2,3,4
22,46,no_noise,2,82,3
22,47,no_noise,1,146,1
22,48,no_noise,1,122,2
22,49,noise,4,12,4
22,50,no_noise,4,44,4
22,51,no_noise,2,94,2
22,52,noise,2,17,3
22,53,noise,4,169,1
22,54,noise,2,125,2
22,55,no_noise,2,84,3
22,56,noise,1,70,1
22,57,noise,2,116,1
22,58,noise,2,162,3
22,59,no_noise,1,51,2
22,60,no_noise,2,86,1
22,61,noise,4,97,4
22,62,no_noise,1,155,3
22,63,noise,4,60,4
22,64,noise,4,164,4
22,65,no_noise,4,96,2
22,66,noise,2,120,3
22,67,no_noise,1,175,2
22,68,no_noise,1,139,1
22,69,no_noise,4,137,2
22,70,noise,1,170,4
22,71,noise,2,119,4
22,72,noise,2,80,1
22,73,no_noise,1,87,4
22,74,no_noise,4,171,3
22,75,noise,2,112,2
22,76,noise,4,107,4
22,77,no_noise,1,54,3
22,78,noise,1,39,3
22,79,no_noise,2,25,3
22,80,no_noise,1,6,2
22,81,noise,2,30,1
22,82,noise,1,36,3
22,83,no_noise,4,42,3
22,84,noise,1,61,2
22,85,noise,4,176,3
22,86,no_noise,1,69,4
22,87,no_noise,4,108,4
22,88,no_noise,4,73,3
22,89,no_noise,1,154,4
22,90,no_noise,4,77,1
22,91,no_noise,1,101,3
22,92,no_noise,2,135,1
22,93,no_noise,2,173,1
22,94,no_noise,1,89,3
22,95,no_noise,1,31,1
22,96,noise,1,178,1
22,97,no_noise,4,132,1
22,98,noise,1,136,3
22,99,no_noise,2,64,4
22,100,noise,1,37,1
22,101,no_noise,1,130,2
22,102,noise,4,49,1
22,103,no_noise,1,63,3
22,104,no_noise,2,52,4
22,105,noise,4,102,3
22,106,noise,2,168,4
22,107,no_noise,2,156,1
22,108,noise,4,24,3
22,109,noise,2,161,4
22,110,noise,1,153,3
22,111,noise,1,105,1
22,112,noise,1,8,3
22,113,noise,2,13,4
22,114,noise,4,157,2
22,115,noise,2,124,1
22,116,no_noise,4,81,2
22,117,noise,1,47,4
22,118,no_noise,2,142,3
22,119,noise,1,9,3
22,120,noise,2,58,3
22,121,noise,2,68,1
22,122,no_noise,2,133,3
22,123,noise,4,159,3
22,124,noise,4,149,4
22,125,noise,1,1,3
22,126,noise,4,16,1
22,127,noise,1,109,2
22,128,noise,1,90,2
22,129,noise,1,78,1
22,130,no_noise,2,103,3
22,131,noise,2,160,2
22,132,noise,4,114,4
22,133,no_noise,4,148,3
22,134,no_noise,2,45,2
22,135,noise,2,93,2
22,136,noise,1,172,2
22,137,no_noise,2,46,3
22,138,noise,2,91,3
22,139,noise,1,85,1
22,140,no_noise,4,151,1
22,141,no_noise,4,163,3
22,142,noise,2,165,2
22,143,no_noise,4,121,4
22,144,no_noise,2,95,4
22,145,noise,1,62,1
22,146,noise,1,55,1
22,147,no_noise,2,19,2
22,148,no_noise,2,92,2
22,149,noise,2,50,1
22,150,noise,4,128,1
22,151,noise,1,79,4
22,152,noise,4,28,2
22,153,noise,4,150,4
22,154,noise,4,145,4
22,155,noise,1,59,4
22,156,no_noise,1,48,2
22,157,no_noise,1,98,2
22,158,no_noise,4,167,3
22,159,no_noise,2,5,3
22,160,no_noise,4,14,3
22,161,no_noise,2,34,3
22,162,no_noise,4,144,2
22,163,noise,2,180,2
22,164,no_noise,1,126,4
22,165,no_noise,1,177,2
22,166,noise,1,40,4
22,167,no_noise,4,26,4
22,168,noise,1,74,2
22,169,noise,2,41,3
22,170,noise,2,158,2
22,171,no_noise,2,67,4
22,172,no_noise,4,65,1
22,173,no_noise,2,99,1
22,174,noise,1,15,2
22,175,noise,2,43,3
22,176,noise,2,4,3
22,177,no_noise,1,129,3
22,178,noise,4,27,4
22,179,no_noise,4,71,4
22,180,noise,4,21,2
