prot_id,trial_id,trajectory_id,Var1,Var2,Var3,noise_present,direction
2,1,235,2000,2500,1500,noise,3.217260313794421
2,2,231,2000,1500,2500,no_noise,0.4119371259204856
2,3,212,2500,1500,2000,no_noise,3.830055362002166
2,4,182,2500,1500,2000,noise,1.5780236599794764
2,5,8,1500,2500,2000,no_noise,5.088006955981069
2,6,79,2500,1500,2000,noise,1.5069281044613607
2,7,71,1500,2500,2000,no_noise,3.376116624785979
2,8,117,2000,1500,2500,no_noise,5.583993398115798
2,9,6,1500,2500,2000,noise,3.888158581137321
2,10,184,1500,2000,2500,no_noise,4.210197702879376
2,11,206,2000,2500,1500,no_noise,5.586611674766101
2,12,112,2000,1500,2500,noise,5.41484053425434
2,13,221,2000,1500,2500,no_noise,3.46676674587024
2,14,36,2000,2500,1500,noise,3.737005739277601
2,15,96,1500,2500,2000,noise,4.717806657572691
2,16,94,2500,2000,1500,no_noise,2.284965374642347
2,17,23,1500,2500,2000,no_noise,5.500502869794456
2,18,225,1500,2000,2500,noise,1.9007851823724184
2,19,44,2500,2000,1500,noise,2.8960581523551214
2,20,63,2000,1500,2500,noise,1.3672281439572638
2,21,38,2000,2500,1500,no_noise,6.023922395015781
2,22,39,1500,2500,2000,no_noise,0.11921949799348397
2,23,24,2500,1500,2000,no_noise,2.9591198211381786
2,24,151,2000,1500,2500,no_noise,0.7866992739596399
2,25,42,2000,1500,2500,noise,2.4889217954573644
2,26,201,2000,1500,2500,no_noise,0.7620510543937882
2,27,176,1500,2000,2500,no_noise,1.431237616883025
2,28,52,1500,2000,2500,noise,0.09287254234274167
2,29,237,1500,2500,2000,no_noise,1.8094454943706415
2,30,73,1500,2000,2500,no_noise,4.974375979137636
2,31,108,2000,1500,2500,noise,2.6086916856568934
2,32,179,2500,2000,1500,noise,5.818180560219676
2,33,142,1500,2500,2000,no_noise,3.6552936278001735
2,34,137,2000,1500,2500,no_noise,5.68615664059635
2,35,48,1500,2500,2000,no_noise,5.197347523254578
2,36,211,2000,2500,1500,noise,3.547011581235443
2,37,86,2500,2000,1500,no_noise,2.7208434884753614
2,38,55,2000,1500,2500,noise,6.282240949671877
2,39,25,1500,2500,2000,noise,4.943051465203039
2,40,194,2000,1500,2500,noise,1.4762143661394491
2,41,157,2500,1500,2000,noise,5.202100238344238
2,42,116,2500,2000,1500,no_noise,5.545756645995879
2,43,187,1500,2000,2500,no_noise,1.3624400569713648
2,44,238,2000,1500,2500,noise,4.180245654799206
2,45,189,1500,2500,2000,noise,4.466758058219414
2,46,64,2500,1500,2000,no_noise,5.520150307251946
2,47,171,1500,2500,2000,no_noise,0.002980265488591538
2,48,141,1500,2000,2500,noise,3.868521173446182
2,49,21,2000,2500,1500,noise,2.2878152970559116
2,50,229,2000,1500,2500,no_noise,0.6220390680925636
2,51,220,2500,1500,2000,no_noise,4.5572402977507345
2,52,152,2000,2500,1500,noise,4.332851022168158
2,53,173,2500,1500,2000,noise,6.19234799256082
2,54,134,2000,2500,1500,no_noise,5.980464947627234
2,55,105,2500,2000,1500,noise,3.53538197645001
2,56,100,2500,2000,1500,no_noise,1.8146109205942338
2,57,165,2500,1500,2000,no_noise,4.8019100651829145
2,58,93,1500,2000,2500,noise,4.324641314623743
2,59,35,2500,1500,2000,noise,3.9393194903431157
2,60,122,2000,1500,2500,no_noise,1.8681345609944096
2,61,102,2000,1500,2500,no_noise,1.1498526872026797
2,62,147,1500,2000,2500,noise,3.384097332985938
2,63,207,2000,2500,1500,noise,3.2386941717206366
2,64,67,1500,2500,2000,no_noise,5.8317534000515066
2,65,20,1500,2000,2500,no_noise,5.896833293061704
2,66,217,2500,1500,2000,no_noise,5.880287932429593
2,67,175,2500,2000,1500,noise,2.8964507732350713
2,68,95,2000,1500,2500,noise,3.3653699817623046
2,69,191,2500,1500,2000,noise,5.701282248010039
2,70,56,2000,1500,2500,noise,5.438752089718032
2,71,180,2500,1500,2000,noise,2.2868897526747016
2,72,13,2000,2500,1500,noise,4.206478333141269
2,73,59,2000,2500,1500,noise,3.8475364928128606
2,74,181,1500,2000,2500,no_noise,2.6854216701573055
2,75,33,2000,1500,2500,noise,1.532611277125735
2,76,114,2000,1500,2500,no_noise,4.722622652646788
2,77,104,2000,2500,1500,no_noise,1.2745877491586848
2,78,17,1500,2000,2500,noise,4.71598635445833
2,79,233,2500,2000,1500,no_noise,3.725442521714605
2,80,195,2500,2000,1500,noise,3.334647948694883
2,81,89,1500,2500,2000,noise,3.80952239389877
2,82,47,2000,2500,1500,no_noise,5.384325834714621
2,83,7,2000,2500,1500,no_noise,4.2731650441676
2,84,51,2500,2000,1500,noise,6.192532937590237
2,85,1,1500,2000,2500,noise,1.8683528254460002
2,86,209,2000,2500,1500,noise,3.4422555870992353
2,87,46,1500,2000,2500,noise,6.021027048995855
2,88,228,2000,1500,2500,noise,3.2511659857588953
2,89,78,2000,1500,2500,no_noise,2.942175392546143
2,90,83,2000,2500,1500,no_noise,6.108676338889166
2,91,2,1500,2500,2000,noise,3.757958266434459
2,92,84,2000,2500,1500,noise,0.704015416222223
2,93,34,2500,2000,1500,noise,0.017426114850487284
2,94,110,2000,1500,2500,noise,2.5166490728326183
2,95,120,2000,2500,1500,no_noise,0.15888633007054498
2,96,186,2500,2000,1500,no_noise,6.248809832240218
2,97,153,1500,2000,2500,no_noise,3.138375407075705
2,98,178,1500,2500,2000,noise,0.2493564229930536
2,99,163,2000,2500,1500,noise,5.710542196146905
2,100,19,2500,2000,1500,no_noise,3.923178183295745
2,101,101,2500,1500,2000,no_noise,1.3153269484641452
2,102,234,2500,2000,1500,noise,3.0232684819416735
2,103,148,1500,2500,2000,no_noise,6.258609146569564
2,104,156,2500,2000,1500,no_noise,4.236914917244309
2,105,140,2500,2000,1500,noise,2.022829313314632
2,106,219,1500,2000,2500,no_noise,6.214632300357401
2,107,26,2500,1500,2000,no_noise,2.4792055222098686
2,108,204,2500,2000,1500,noise,3.1605486925563326
2,109,22,2500,2000,1500,noise,5.033564442106124
2,110,61,1500,2500,2000,noise,3.286432766944746
2,111,236,2500,1500,2000,no_noise,2.8787617354327875
2,112,177,1500,2500,2000,noise,3.379302583871106
