prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction
302,105,152,1000,500,no_noise,0.19242417761651298
302,106,150,500,500,noise,3.7797782469585166
302,107,206,500,500,no_noise,4.623354219295227
302,108,168,1000,1000,noise,3.3166582870789822
302,109,172,500,500,noise,1.0474498202036617
302,110,201,500,500,noise,4.215858976408429
302,111,182,1000,1000,no_noise,0.3264381588310359
302,112,120,500,500,no_noise,2.9936754705311075
302,113,126,500,1000,no_noise,1.2467731019269825
302,114,205,500,1000,no_noise,1.9759925895313737
302,115,140,1000,1000,no_noise,5.952729470596145
302,116,148,500,1000,noise,0.5969259726599088
302,117,108,1000,500,noise,1.8462754503375685
302,118,161,500,500,noise,4.453669875832654
302,119,138,1000,500,noise,3.500796741001845
302,120,207,1000,1000,no_noise,0.42341436632504603
302,121,197,1000,1000,noise,0.1177535531367111
302,122,189,500,500,no_noise,4.324300328900319
302,123,109,500,500,no_noise,1.0580335482812757
302,124,165,500,1000,no_noise,1.162716081986133
302,125,143,500,500,noise,0.5424110136187608
302,126,130,1000,1000,noise,3.0206527068812856
302,127,184,1000,500,no_noise,5.086079276142608
302,128,149,1000,500,noise,4.330796832100039
302,129,122,1000,1000,noise,0.11138062701590101
302,130,188,500,500,noise,4.482886734432088
302,131,131,1000,500,noise,6.242585589798393
302,132,194,500,500,noise,5.267761619347173
302,133,155,1000,1000,no_noise,6.041078449337164
302,134,208,1000,1000,noise,4.498854663743295
302,135,123,500,500,no_noise,0.5009878240395036
302,136,118,1000,500,no_noise,3.1191572219668693
302,137,139,500,500,no_noise,5.417400045485399
302,138,174,1000,1000,noise,5.65717848487699
302,139,200,500,1000,noise,2.3553961216685195
302,140,160,1000,1000,noise,2.425374353022742
302,141,156,500,1000,no_noise,0.09472322148809953
302,142,153,500,1000,noise,1.676377359914433
302,143,177,1000,500,noise,5.644727195579385
302,144,117,1000,1000,no_noise,0.7899089718164394
302,145,141,500,1000,noise,1.170326538786492
302,146,128,1000,500,noise,0.7773993398829138
302,147,173,500,1000,noise,1.6304611422225195
302,148,127,1000,500,no_noise,1.3221836250208163
302,149,193,1000,500,no_noise,2.8704824471157684
302,150,185,1000,500,no_noise,2.586788959560436
302,151,175,1000,500,noise,0.3566253475857586
302,152,196,500,1000,no_noise,4.543267547318165
302,153,167,1000,500,no_noise,2.7585374497115756
302,154,203,1000,500,no_noise,0.8150680701710148
302,155,106,500,1000,no_noise,1.346819117199379
302,156,202,1000,500,noise,4.121329679340916
302,157,144,1000,1000,noise,5.376264714296599
302,158,163,500,1000,noise,4.427656055886922
302,159,190,1000,500,noise,4.490292129616522
302,160,166,1000,500,noise,4.566537942360666
302,161,162,1000,1000,no_noise,0.21095314251941755
302,162,145,500,1000,no_noise,2.2731595569855108
302,163,164,500,500,no_noise,2.186394428446783
302,164,191,500,1000,no_noise,0.7935848577775584
302,165,119,1000,500,noise,3.16909064342573
302,166,199,500,500,no_noise,4.5825365417494055
302,167,125,500,1000,noise,2.0358031437838893
302,168,198,1000,500,noise,0.63537892359109
302,169,105,500,500,noise,3.309565325845819
302,170,176,500,1000,no_noise,0.82977808157632
302,171,195,1000,1000,no_noise,3.496313223319623
302,172,116,1000,1000,noise,4.140490790163807
302,173,134,1000,1000,no_noise,4.904004328150193
302,174,121,500,500,noise,5.637879624224838
302,175,136,500,1000,no_noise,5.5659006666066215
302,176,110,500,1000,noise,4.113536723510169
302,177,151,1000,1000,noise,3.3380620322994545
302,178,180,500,1000,no_noise,6.141947663241945
302,179,186,1000,1000,no_noise,4.538182929763435
302,180,154,1000,500,noise,0.9551573833960729
302,181,146,500,500,no_noise,0.9918414162104288
302,182,178,500,1000,noise,1.6555953987651915
302,183,124,1000,1000,no_noise,2.082749451834629
302,184,115,500,1000,no_noise,4.7745986954175965
302,185,169,1000,1000,no_noise,0.3118331995730026
302,186,132,500,500,noise,1.825413411978503
302,187,111,1000,1000,noise,2.930052545912349
302,188,137,500,1000,no_noise,5.997904145354104
302,189,181,500,500,no_noise,2.997902927810243
302,190,170,500,500,no_noise,4.98892303756101
302,191,107,1000,1000,no_noise,5.940160433948176
302,192,142,1000,500,no_noise,4.316388202299915
302,193,112,1000,500,no_noise,5.469622127670451
302,194,179,500,500,noise,0.09180414401109127
302,195,133,500,1000,noise,1.9441308906151527
302,196,113,500,500,noise,3.666925166563308
302,197,187,500,1000,noise,5.989350643283553
302,198,171,1000,500,no_noise,3.5954670516688534
302,199,158,500,500,noise,2.087066245132111
302,200,135,1000,500,no_noise,3.8021907956168444
302,201,129,500,500,no_noise,0.505171430349213
302,202,183,1000,1000,noise,3.2874635595042507
302,203,204,500,1000,noise,4.3712645196616595
302,204,159,500,500,no_noise,4.2482297986116775
302,205,157,1000,500,no_noise,5.357375039145808
302,206,114,500,1000,noise,0.7969584419580237
302,207,192,1000,1000,noise,5.752476972567236
302,208,147,1000,1000,no_noise,1.780165332380081
