prot_id,trial_id,trajectory_id,Var1,Var2,Var3,noise_present,direction
18,1,75,2000,1500,2500,noise,0.4537703114577205
18,2,54,1500,2000,2500,no_noise,4.06086586194594
18,3,219,1500,2000,2500,no_noise,6.214632300357401
18,4,163,2000,2500,1500,noise,5.710542196146905
18,5,41,2500,1500,2000,no_noise,2.0400685008817048
18,6,197,2500,1500,2000,noise,3.2339232608559065
18,7,129,2000,1500,2500,no_noise,3.8020077289742407
18,8,210,1500,2500,2000,no_noise,3.5836668208961626
18,9,42,2000,1500,2500,noise,2.4889217954573644
18,10,169,1500,2500,2000,no_noise,3.2073816069009116
18,11,176,1500,2000,2500,no_noise,1.431237616883025
18,12,173,2500,1500,2000,noise,6.19234799256082
18,13,64,2500,1500,2000,no_noise,5.520150307251946
18,14,85,2000,2500,1500,noise,1.828690437714065
18,15,35,2500,1500,2000,noise,3.9393194903431157
18,16,37,2500,1500,2000,no_noise,1.6830114022832117
18,17,99,2000,2500,1500,no_noise,2.9302384667081256
18,18,187,1500,2000,2500,noise,1.3624400569713648
18,19,172,2500,1500,2000,noise,1.6972984109258968
18,20,115,2500,1500,2000,noise,5.325218478850283
18,21,142,1500,2500,2000,no_noise,3.6552936278001735
18,22,11,1500,2500,2000,no_noise,5.373080525342348
18,23,136,2500,1500,2000,no_noise,5.129597869118114
18,24,13,2000,2500,1500,no_noise,4.206478333141269
18,25,70,2000,1500,2500,noise,1.0551944880344495
18,26,53,1500,2000,2500,no_noise,2.969406026788503
18,27,177,1500,2500,2000,no_noise,3.379302583871106
18,28,224,2500,1500,2000,noise,0.08187695893827174
18,29,211,2000,2500,1500,no_noise,3.547011581235443
18,30,218,1500,2500,2000,no_noise,4.025891532713315
18,31,62,1500,2000,2500,noise,4.60394656142552
18,32,31,1500,2000,2500,noise,6.173287654849819
18,33,22,2500,2000,1500,no_noise,5.033564442106124
18,34,111,2500,1500,2000,no_noise,1.3664655130591967
18,35,212,2500,1500,2000,no_noise,3.830055362002166
18,36,208,2500,1500,2000,noise,5.253477893492658
18,37,170,2500,1500,2000,no_noise,3.567733044870435
18,38,73,1500,2000,2500,noise,4.974375979137636
18,39,17,1500,2000,2500,noise,4.71598635445833
18,40,106,1500,2000,2500,noise,0.17510597784397897
18,41,174,2000,2500,1500,noise,0.5102753540338356
18,42,18,2000,2500,1500,no_noise,2.5683129830132803
18,43,201,2000,1500,2500,no_noise,0.7620510543937882
18,44,202,2000,2500,1500,noise,3.1936083487551397
18,45,78,2000,1500,2500,noise,2.942175392546143
18,46,134,2000,2500,1500,no_noise,5.980464947627234
18,47,205,2500,2000,1500,no_noise,5.974375671081567
18,48,222,2500,1500,2000,noise,3.455324568686205
18,49,19,2500,2000,1500,noise,3.923178183295745
18,50,60,2500,1500,2000,no_noise,1.1453668332402849
18,51,69,2000,2500,1500,no_noise,1.1829519372793023
18,52,137,2000,1500,2500,noise,5.68615664059635
18,53,39,1500,2500,2000,noise,0.11921949799348397
18,54,77,2500,2000,1500,no_noise,3.827131411545036
18,55,29,2000,2500,1500,noise,1.929085345782104
18,56,10,2000,1500,2500,no_noise,4.9772138485691455
18,57,178,1500,2500,2000,no_noise,0.2493564229930536
18,58,154,2500,2000,1500,noise,2.996614477341109
18,59,67,1500,2500,2000,noise,5.8317534000515066
18,60,72,2000,2500,1500,no_noise,5.785970694115179
18,61,20,1500,2000,2500,no_noise,5.896833293061704
18,62,237,1500,2500,2000,noise,1.8094454943706415
18,63,139,1500,2500,2000,noise,4.504077161326996
18,64,23,1500,2500,2000,no_noise,5.500502869794456
18,65,112,2000,1500,2500,no_noise,5.41484053425434
18,66,152,2000,2500,1500,no_noise,4.332851022168158
18,67,81,2000,1500,2500,noise,3.161824734554318
18,68,65,1500,2500,2000,noise,0.8536925877457779
18,69,143,2000,1500,2500,noise,6.26954792193918
18,70,158,2500,2000,1500,noise,5.813448644899267
18,71,88,2500,2000,1500,noise,3.6872048245496067
18,72,108,2000,1500,2500,noise,2.6086916856568934
18,73,118,1500,2500,2000,noise,5.992464876958172
18,74,144,2000,1500,2500,no_noise,0.9472523563371089
18,75,209,2000,2500,1500,noise,3.4422555870992353
