prot_id,trial_id,noise_present,no_targets,trajectory_id
4,1,no_noise,4,75
4,2,noise,4,156
4,3,no_noise,4,33
4,4,noise,1,123
4,5,noise,2,106
4,6,no_noise,4,32
4,7,no_noise,4,87
4,8,no_noise,1,85
4,9,no_noise,1,44
4,10,no_noise,1,165
4,11,noise,2,96
4,12,no_noise,4,40
4,13,no_noise,1,79
4,14,no_noise,2,14
4,15,no_noise,4,176
4,16,no_noise,1,48
4,17,noise,2,89
4,18,no_noise,2,3
4,19,noise,4,118
4,20,no_noise,2,23
4,21,noise,4,180
4,22,noise,1,61
4,23,noise,1,177
4,24,no_noise,2,95
4,25,no_noise,2,62
4,26,noise,1,136
4,27,no_noise,4,91
4,28,noise,2,49
4,29,no_noise,4,164
4,30,no_noise,4,28
4,31,no_noise,2,162
4,32,noise,2,172
4,33,no_noise,4,51
4,34,noise,1,31
4,35,noise,4,77
4,36,no_noise,1,160
4,37,noise,4,46
4,38,noise,1,148
4,39,noise,4,60
4,40,noise,4,179
4,41,noise,1,117
4,42,noise,1,55
4,43,no_noise,2,114
4,44,noise,4,22
4,45,no_noise,4,12
4,46,noise,2,115
4,47,noise,4,149
4,48,no_noise,2,100
4,49,noise,1,159
4,50,noise,4,158
4,51,noise,4,66
4,52,noise,2,19
4,53,noise,4,146
4,54,no_noise,2,103
4,55,noise,4,94
4,56,no_noise,4,56
4,57,no_noise,1,5
4,58,no_noise,1,71
4,59,noise,4,16
4,60,no_noise,4,108
4,61,no_noise,1,107
4,62,noise,4,83
4,63,no_noise,1,102
4,64,noise,1,125
4,65,noise,1,26
4,66,no_noise,1,121
4,67,no_noise,4,45
4,68,noise,2,38
4,69,no_noise,1,10
4,70,no_noise,4,169
4,71,no_noise,4,112
4,72,noise,4,113
4,73,no_noise,1,154
4,74,noise,2,143
4,75,noise,1,29
4,76,noise,2,126
4,77,noise,1,174
4,78,noise,4,54
4,79,no_noise,1,173
4,80,noise,2,130
4,81,noise,1,104
4,82,no_noise,4,64
4,83,noise,4,129
4,84,no_noise,2,98
4,85,no_noise,2,128
4,86,no_noise,4,178
4,87,noise,1,109
4,88,no_noise,4,99
4,89,noise,2,37
4,90,no_noise,2,131
4,91,noise,1,116
4,92,noise,4,81
4,93,noise,2,47
4,94,no_noise,2,92
4,95,noise,2,175
4,96,no_noise,4,138
4,97,noise,1,111
4,98,no_noise,1,36
4,99,no_noise,2,140
4,100,no_noise,4,50
4,101,no_noise,2,68
4,102,noise,2,84
4,103,noise,4,151
4,104,no_noise,1,82
4,105,noise,2,127
4,106,no_noise,4,139
4,107,no_noise,1,119
4,108,no_noise,2,144
4,109,noise,4,78
4,110,noise,4,155
4,111,no_noise,2,11
4,112,no_noise,1,30
4,113,noise,1,70
4,114,no_noise,2,17
4,115,no_noise,4,161
4,116,no_noise,2,76
4,117,no_noise,2,4
4,118,no_noise,2,6
4,119,no_noise,1,110
4,120,no_noise,2,97
4,121,noise,2,142
4,122,no_noise,4,105
4,123,noise,1,41
4,124,no_noise,2,72
4,125,noise,2,170
4,126,noise,1,171
4,127,no_noise,1,150
4,128,no_noise,2,9
4,129,no_noise,4,7
4,130,no_noise,4,120
4,131,no_noise,4,24
4,132,noise,2,42
4,133,no_noise,2,18
4,134,noise,2,152
4,135,no_noise,1,8
4,136,no_noise,1,122
4,137,noise,1,145
4,138,noise,2,166
4,139,noise,4,25
4,140,noise,1,65
4,141,no_noise,1,124
4,142,no_noise,2,101
4,143,noise,2,163
4,144,noise,2,63
4,145,noise,1,153
4,146,noise,2,132
4,147,no_noise,1,80
4,148,no_noise,1,135
4,149,noise,1,1
4,150,no_noise,1,69
4,151,no_noise,1,73
4,152,no_noise,4,52
4,153,noise,2,15
4,154,noise,4,168
4,155,noise,2,59
4,156,no_noise,1,43
4,157,noise,1,13
4,158,noise,1,20
4,159,noise,1,53
4,160,no_noise,4,21
4,161,noise,4,157
4,162,noise,1,167
4,163,no_noise,4,74
4,164,noise,2,137
4,165,no_noise,1,58
4,166,noise,4,67
4,167,noise,2,134
4,168,noise,4,93
4,169,noise,4,90
4,170,noise,4,57
4,171,no_noise,2,2
4,172,noise,2,147
4,173,noise,4,86
4,174,noise,1,88
4,175,no_noise,2,133
4,176,no_noise,2,141
4,177,no_noise,2,39
4,178,noise,2,27
4,179,no_noise,1,35
4,180,noise,1,34
